Table Contents:
+-----+---------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------+------------+
| ID  | SpeciesName                     | Description                                                                                                                                                                                                                                                       | Photo                                                                                                                          | Bird       |
|  14 | Texas Antelope Squirrel         | A quick, agile rodent with a white side stripe. Found in arid regions of Texas where it forages for seeds and insects.                                                                                                                                            | https://upload.wikimedia.org/wikipedia/commons/3/3e/Texas_Antelope_Squirrel_%28Ammospermophilus_interpres%29.jpg               | 0x00       |
|  15 | Silverleaf Nightshade           | A drought-tolerant plant with silvery leaves and violet flowers. Common in disturbed soils and sometimes considered a weed.                                                                                                                                       | https://upload.wikimedia.org/wikipedia/commons/7/7a/Solanum_elaeagnifolium.jpg                                                 | 0x00       |
|  16 | Texas Brown Tarantula           | One of the most common tarantulas in Texas. Despite its size and hairy appearance, it is shy and rarely bites.                                                                                                                                                    | https://upload.wikimedia.org/wikipedia/commons/8/8e/Texas_Brown_Tarantula_%28Aphonopelma_hentzi%29.jpg                         | 0x00       |
|  17 | Desert Willow                   | A small deciduous tree native to West Texas, known for its delicate, trumpet-shaped pink to lavender flowers that bloom in summer and fall. Drought-tolerant and attracts hummingbirds.                                                                           | https://upload.wikimedia.org/wikipedia/commons/3/3b/Chilopsis_linearis_flowers.jpg                                             | 0x00       |
|  18 | Great Plains Toad               | A large toad with dark blotches on a light background. Inhabits grasslands and agricultural fields, breeding in temporary pools after rains.                                                                                                                      | https://upload.wikimedia.org/wikipedia/commons/3/3c/Anaxyrus_cognatus.jpg                                                      | 0x00       |
|  19 | Blackfoot Daisy                 | A hardy perennial with white daisy-like flowers and a yellow center. Thrives in rocky soils and full sun, providing nectar for butterflies and bees.                                                                                                              | https://upload.wikimedia.org/wikipedia/commons/4/4b/Melampodium_leucanthum_flower.jpg                                          | 0x00       |
|  20 | Western Diamondback Rattlesnake | A venomous snake identifiable by its diamond-shaped patterns and rattling tail. Common in arid regions and plays a role in controlling rodent populations.                                                                                                        | https://upload.wikimedia.org/wikipedia/commons/7/7a/Crotalus_atrox_06.JPG                                                      | 0x00       |
|  21 | Mealy Blue Sage                 | A perennial herb with spikes of violet-blue flowers. Attracts pollinators like bees and butterflies. Drought-tolerant and commonly used in xeriscaping.                                                                                                           | https://upload.wikimedia.org/wikipedia/commons/5/5b/Salvia_farinacea_flower.jpg                                                | 0x00       |
|  22 | Mule Deer                       | A large deer species with distinctive large ears. Inhabits a variety of terrains, including grasslands and shrublands.                                                                                                                                            | https://upload.wikimedia.org/wikipedia/commons/5/5b/Mule_deer_in_Jasper_National_Park.jpg                                      | 0x00       |
|  23 | Indian Paintbrush               | A wildflower with bright red bracts resembling a paintbrush. Often found in prairies and open woods.                                                                                                                                                              | https://upload.wikimedia.org/wikipedia/commons/3/3a/Castilleja_indivisa.jpg                                                    | 0x00       |
|  24 | Common Nighthawk                | A nocturnal bird that feeds on insects in flight. Recognizable by its erratic flight pattern and white wing patches.                                                                                                                                              | https://upload.wikimedia.org/wikipedia/commons/3/3f/Chordeiles_minor_USFWS.jpg                                                 | 0x01       |
|  25 | Engelmann Daisy                 | A perennial with bright yellow flowers that bloom in spring and summer. Drought-tolerant and attracts butterflies.                                                                                                                                                | https://upload.wikimedia.org/wikipedia/commons/8/8d/Engelmannia_peristenia.jpg                                                 | 0x00       |
|  26 | Coyote                          | A versatile canid found in various habitats. Known for its adaptability and often heard howling at night.                                                                                                                                                         | https://upload.wikimedia.org/wikipedia/commons/9/9e/2009-Coyote-Yosemite.jpg                                                   | 0x00       |
|  27 | Little Bluestem                 | A native prairie grass with blue-green stems that turn reddish-brown in the fall. Provides habitat and food for wildlife.                                                                                                                                         | https://upload.wikimedia.org/wikipedia/commons/6/6a/Schizachyrium_scoparium.jpg                                                | 0x00       |
|  28 | Striped Skunk                   | A nocturnal mammal known for its black and white coloration and defensive spray. Common in both urban and rural areas.                                                                                                                                            | https://upload.wikimedia.org/wikipedia/commons/6/6a/Striped_Skunk.jpg                                                          | 0x00       |
|  29 | Texas Betony                    | A perennial plant with bright red tubular flowers that attract hummingbirds. Thrives in partial shade and well-drained soils.                                                                                                                                     | https://upload.wikimedia.org/wikipedia/commons/5/5e/Stachys_coccinea.jpg                                                       | 0x00       |
|  30 | Black-tailed Jackrabbit         | A large hare with distinctive long ears and powerful hind legs. Inhabits open grasslands and deserts, feeding on a variety of vegetation.                                                                                                                         | https://upload.wikimedia.org/wikipedia/commons/6/6b/Black-tailed_Jackrabbit.jpg                                                | 0x00       |
|  32 | Northern Bobwhite               | A ground-dwelling quail with a distinctive ?bob-white!? call. Found in grasslands and brushy fields throughout West Texas.                                                                                                                                        | https://upload.wikimedia.org/wikipedia/commons/5/5e/Colinus_virginianus_male.jpg                                               | 0x01       |
|  34 | American Badger                 | A burrowing carnivore with a low-slung body and bold white facial stripe. Found in open fields, where it digs for rodents.                                                                                                                                        | https://upload.wikimedia.org/wikipedia/commons/5/5e/AmericanBadger.JPG                                                         | 0x00       |
|  35 | Four-nerve Daisy                | A small, sun-loving perennial with yellow ray flowers and distinct four-veined petals. Common in dry grasslands.                                                                                                                                                  | https://upload.wikimedia.org/wikipedia/commons/6/6f/Tetraneuris_scaposa_1.jpg                                                  | 0x00       |
|  36 | Western Meadowlark              | A grassland songbird with a bright yellow breast and melodic flute-like song. Builds its nest on the ground.                                                                                                                                                      | https://upload.wikimedia.org/wikipedia/commons/0/00/Sturnella_neglecta_-_San_Joaquin_County%2C_California%2C_USA_-_adult-8.jpg | 0x01       |
|  37 | Sideoats Grama                  | A warm-season bunchgrass with oat-like seeds hanging from one side of the stem. It is the state grass of Texas.                                                                                                                                                   | https://upload.wikimedia.org/wikipedia/commons/1/12/Bouteloua_curtipendula_1.jpg                                               | 0x00       |
|  38 | Swift Fox                       | A small, nocturnal fox found in shortgrass prairies. It has a bushy tail and large ears, and feeds on insects, rodents, and small reptiles.                                                                                                                       | https://upload.wikimedia.org/wikipedia/commons/6/60/Vulpes_velox.jpg                                                           | 0x00       |
|  39 | Prairie Verbena                 | A low-growing plant with clusters of bright purple flowers. It blooms throughout the spring and attracts butterflies and bees.                                                                                                                                    | https://upload.wikimedia.org/wikipedia/commons/f/fe/Glandularia_bipinnatifida_2.jpg                                            | 0x00       |
|  41 | Apache Plume                    | A deciduous shrub with white flowers that develop into feathery pink seed heads, providing visual interest throughout the growing season.                                                                                                                         | https://upload.wikimedia.org/wikipedia/commons/5/5b/Fallugia_paradoxa_1.jpg                                                    | 0x00       |
|  42 | Nine-Banded Armadillo           | Recognized by its armored shell, this nocturnal mammal is a common sight in Texas, foraging for insects and small invertebrates.                                                                                                                                  | https://upload.wikimedia.org/wikipedia/commons/6/6f/Nine-banded_Armadillo.jpg                                                  | 0x00       |
|  43 | Creosote Bush                   | An evergreen shrub known for its small, waxy leaves and yellow flowers. It emits a distinctive aroma after rain and is highly drought-tolerant.                                                                                                                   | https://upload.wikimedia.org/wikipedia/commons/9/9d/Larrea_tridentata.jpg                                                      | 0x00       |
|  45 | Texas Sage                      | Also known as cenizo, this shrub has silvery-gray leaves and produces purple flowers after rainfall. It is well-adapted to arid conditions.                                                                                                                       | https://upload.wikimedia.org/wikipedia/commons/3/3e/Leucophyllum_frutescens_2.jpg                                              | 0x00       |
|  46 | Western Kingbird                | A medium-sized flycatcher with gray and yellow plumage. It is often seen perched on fences and wires, scanning for insects.                                                                                                                                       | https://upload.wikimedia.org/wikipedia/commons/8/8b/Tyrannus_verticalis1.jpg                                                   | 0x01       |
|  47 | Texas Mountain Laurel           | An evergreen shrub or small tree with glossy leaves and fragrant purple flowers that resemble grape clusters. Its seeds are toxic if ingested.                                                                                                                    | https://upload.wikimedia.org/wikipedia/commons/6/6b/Sophora_secundiflora_3.jpg                                                 | 0x00       |
|  48 | Eastern Cottontail              | A common rabbit species with a distinctive white tail. It inhabits grasslands and wooded areas, feeding on a variety of vegetation.                                                                                                                               | https://upload.wikimedia.org/wikipedia/commons/7/7e/Sylvilagus_floridanus_%28Eastern_Cottontail%29.jpg                         | 0x00       |
|  49 | Mexican Buckeye                 | A deciduous shrub or small tree with pink flowers in early spring and unique three-lobed seed capsules. It thrives in well-drained soils.                                                                                                                         | https://upload.wikimedia.org/wikipedia/commons/4/4e/Ungnadia_speciosa.jpg                                                      | 0x00       |
|  50 | Northern Mockingbird            | The state bird of Texas, known for its ability to mimic other bird songs. It has gray plumage and a distinctive white wing patch.                                                                                                                                 | https://upload.wikimedia.org/wikipedia/commons/6/6e/Northern_Mockingbird_1.jpg                                                 | 0x01       |
|  51 | Agarita                         | A hardy shrub with spiny leaves and yellow flowers that produce red berries. The berries are edible and often used in jellies.                                                                                                                                    | https://upload.wikimedia.org/wikipedia/commons/1/1c/Mahonia_trifoliolata_fruit.jpg                                             | 0x00       |
|  53 | Texas Prickly Pear              | A cactus species with flat, green pads and vibrant yellow flowers. Its red fruits, known as tunas, are edible and used in various dishes.                                                                                                                         | https://upload.wikimedia.org/wikipedia/commons/8/8c/Opuntia_engelmannii.jpg                                                    | 0x00       |
|  54 | Barn Swallow                    | A migratory bird with a distinctive forked tail and agile flight. Often nests on human-made structures and feeds on flying insects.                                                                                                                               | https://upload.wikimedia.org/wikipedia/commons/3/3a/Barn_Swallow_Hirundo_rustica.jpg                                           | 0x01       |
|  57 | Rock Rose                       | A perennial plant with bright pink, hibiscus-like flowers. It thrives in rocky soils and is drought-tolerant.                                                                                                                                                     | https://upload.wikimedia.org/wikipedia/commons/1/1b/Pavonia_lasiopetala.jpg                                                    | 0x00       |
|  58 | Scissor-tailed Flycatcher       | Recognized by its long, forked tail, this bird performs acrobatic flights to catch insects. Commonly seen in open areas and along roadsides.                                                                                                                      | https://upload.wikimedia.org/wikipedia/commons/9/9d/Scissor-tailed_Flycatcher.jpg                                              | 0x01       |
|  59 | Purple Coneflower               | A hardy perennial with large, purple-pink flowers and a prominent central cone. Attracts pollinators and is used in herbal remedies.                                                                                                                              | https://upload.wikimedia.org/wikipedia/commons/6/6e/Echinacea_purpurea_1.jpg                                                   | 0x00       |
|  60 | Red-tailed Hawk                 | A large raptor with a characteristic reddish-brown tail. Often seen soaring over open fields in search of prey.                                                                                                                                                   | https://upload.wikimedia.org/wikipedia/commons/5/5c/Red-tailed_Hawk_Buteo_jamaicensis.jpg                                      | 0x01       |
|  61 | Greggs Mistflower               | A perennial plant with clusters of light purple flowers that attract butterflies, especially the queen butterfly. Thrives in partial shade and moist soils.                                                                                                       | https://upload.wikimedia.org/wikipedia/commons/3/3a/Conoclinium_coelestinum.jpg                                                | 0x00       |
|  62 | Eastern Bluebird                | A small thrush with bright blue plumage and a reddish chest. Prefers open woodlands and is often seen perched on fences and wires.                                                                                                                                | https://upload.wikimedia.org/wikipedia/commons/1/1e/Eastern_Bluebird.jpg                                                       | 0x01       |
|  65 | Shrubby Boneset                 | A shrub with clusters of white flowers that bloom in late summer and fall. Attracts a variety of pollinators.                                                                                                                                                     | https://upload.wikimedia.org/wikipedia/commons/8/8f/Eupatorium_havanense.jpg                                                   | 0x00       |
|  66 | Monarch Butterfly               | A well-known butterfly with orange and black wings. Migrates through Texas during its annual journey between Mexico and Canada.                                                                                                                                   | https://upload.wikimedia.org/wikipedia/commons/4/4f/Danaus_plexippus_Adult_Male_2010-10-01.jpg                                 | 0x00       |
|  67 | Velvet-leaf Mallow              | A drought-tolerant plant with soft, velvety leaves and yellow flowers. Blooms from spring to fall.                                                                                                                                                                | https://upload.wikimedia.org/wikipedia/commons/2/2f/Abutilon_theophrasti.jpg                                                   | 0x00       |
|  68 | Painted Bunting                 | A colorful songbird with bright blue, green, and red plumage. Prefers dense brush and woodland edges.                                                                                                                                                             | https://upload.wikimedia.org/wikipedia/commons/7/75/Painted_Bunting.jpg                                                        | 0x01       |
|  69 | Texas Blazing Star              | A tall perennial with spikes of purple flowers. Prefers well-drained soils and full sun.                                                                                                                                                                          | https://upload.wikimedia.org/wikipedia/commons/3/3e/Liatris_punctata.jpg                                                       | 0x00       |
|  70 | Rio Grande Leopard Frog         | A medium-sized frog with distinctive leopard-like spots. Found near permanent water sources.                                                                                                                                                                      | https://upload.wikimedia.org/wikipedia/commons/9/9e/Lithobates_berlandieri.jpg                                                 | 0x00       |
|  71 | Turks Cap                       | A shade-loving perennial with unique red, turban-shaped flowers. Attracts hummingbirds and butterflies.                                                                                                                                                           | https://upload.wikimedia.org/wikipedia/commons/3/3f/Malvaviscus_drummondii.jpg                                                 | 0x00       |
|  72 | American Kestrel                | The smallest North American falcon, with a colorful plumage. Often seen perched on wires, hunting for insects and small prey.                                                                                                                                     | https://upload.wikimedia.org/wikipedia/commons/4/45/American_Kestrel_Falco_sparverius.jpg                                      | 0x01       |
|  73 | Purple Prairie Clover           | A perennial legume with cylindrical clusters of purple flowers. Improves soil nitrogen and attracts pollinators.                                                                                                                                                  | https://upload.wikimedia.org/wikipedia/commons/6/6f/Dalea_purpurea.jpg                                                         | 0x00       |
|  74 | Common Green Darner             | A large dragonfly with a green thorax and blue abdomen. Frequently seen near ponds and slow-moving water.                                                                                                                                                         | https://upload.wikimedia.org/wikipedia/commons/5/5a/Anax_junius_1599050.jpg                                                    | 0x00       |
|  76 | Texas Rat Snake                 | A non-venomous snake that helps control rodent populations. Can vary in color but often has a mottled appearance.                                                                                                                                                 | https://upload.wikimedia.org/wikipedia/commons/8/8b/Elaphe_obsoleta_lindheimeri.jpg                                            | 0x00       |
|  77 | Engelmanns Prickly Pear         | A cactus with large, flat pads and yellow flowers. Produces red, edible fruits known as tunas.                                                                                                                                                                    | https://upload.wikimedia.org/wikipedia/commons/8/8c/Opuntia_engelmannii.jpg                                                    | 0x00       |
|  78 | White-tailed Deer               | A common deer species with a characteristic white underside to its tail. Inhabits forests and grasslands.                                                                                                                                                         | https://upload.wikimedia.org/wikipedia/commons/2/2f/White-tailed_Deer.jpg                                                      | 0x00       |
|  79 | Texas Lantana                   | A shrub with clusters of orange and yellow flowers. Drought-tolerant and attracts butterflies.                                                                                                                                                                    | https://upload.wikimedia.org/wikipedia/commons/3/3e/Lantana_urticoides.jpg                                                     | 0x00       |
|  80 | Gulf Coast Toad                 | A medium-sized toad with a dark brown body and light stripe down its back. Commonly found in gardens and near water sources.                                                                                                                                      | https://upload.wikimedia.org/wikipedia/commons/9/9b/Incilius_nebulifer.jpg                                                     | 0x00       |
|  86 | Texas Spiny Softshell Turtle    | A freshwater turtle with a leathery, flattened shell. Prefers rivers and streams with sandy bottoms.                                                                                                                                                              | https://upload.wikimedia.org/wikipedia/commons/3/3c/Apalone_spinifera_emoryi.jpg                                               | 0x00       |
|  87 | Scarlet Globemallow             | A low-growing perennial with bright orange-red flowers. Tolerant of dry, sandy soils.                                                                                                                                                                             | https://upload.wikimedia.org/wikipedia/commons/2/2b/Sphaeralcea_coccinea.jpg                                                   | 0x00       |
|  93 | Antelope Horns Milkweed         | A perennial with greenish-white flowers. Important for monarch butterfly larvae.                                                                                                                                                                                  | https://upload.wikimedia.org/wikipedia/commons/8/8f/Asclepias_asperula.jpg                                                     | 0x00       |
|  95 | Texas Thistle                   | A native thistle with pink to purple flowers. Attracts pollinators and provides seeds for birds.                                                                                                                                                                  | https://upload.wikimedia.org/wikipedia/commons/3/3a/Cirsium_texanum.jpg                                                        | 0x00       |
|  97 | Plains Coreopsis                | An annual with bright yellow flowers and maroon centers. Often found in disturbed soils and along roadsides.                                                                                                                                                      | https://upload.wikimedia.org/wikipedia/commons/5/5e/Coreopsis_tinctoria.jpg                                                    | 0x00       |
|  98 | Eastern Collared Lizard         | A colorful lizard with a distinctive black "collar" around its neck. Prefers rocky outcrops and open areas.                                                                                                                                                       | https://upload.wikimedia.org/wikipedia/commons/3/3a/Crotaphytus_collaris.jpg                                                   | 0x00       |
| 109 | Autumn Sage                     | A small shrub with tubular red, pink, or purple flowers. Blooms from spring to fall and attracts hummingbirds.                                                                                                                                                    | https://upload.wikimedia.org/wikipedia/commons/5/5d/Salvia_greggii.jpg                                                         | 0x00       |
| 113 | Goldenrod                       | A tall perennial with clusters of small yellow flowers. Blooms in late summer and is important for pollinators.                                                                                                                                                   | https://upload.wikimedia.org/wikipedia/commons/6/6b/Solidago_canadensis_001.JPG                                                | 0x00       |
| 114 | Killdeer                        | A medium-sized plover with distinctive double black breast bands. Often found in open fields and near water, known for its "broken-wing" act to distract predators.                                                                                               | https://upload.wikimedia.org/wikipedia/commons/6/6e/Killdeer_Charadrius_vociferus.jpg                                          | 0x00       |
| 117 | Winecup                         | A trailing perennial with cup-shaped magenta flowers. Blooms in spring and prefers well-drained soils.                                                                                                                                                            | https://upload.wikimedia.org/wikipedia/commons/4/4f/Callirhoe_involucrata.jpg                                                  | 0x00       |
| 120 | Great Horned Owl                | A large owl with distinctive ear tufts and a deep hooting call. Inhabits a variety of habitats, including forests and urban areas.                                                                                                                                | https://upload.wikimedia.org/wikipedia/commons/5/5e/Great_Horned_Owl_USFWS.jpg                                                 | 0x01       |
| 121 | Texas Bullnettle                | Cnidoscolus texanus, commonly known as Texas bullnettle, is a perennial herb characterized by stinging hairs that cause intense pain upon contact. It produces showy, fragrant white flowers and is native to various regions, including Lubbock.                 | https://upload.wikimedia.org/wikipedia/commons/4/4b/Texas_bullnettle.jpg                                                       | 0x00       |
| 122 | Green Toad                      | A small toad species found throughout Texas except for the northern Panhandle and western extremes. Known for its greenish color and small size.                                                                                                                  | https://upload.wikimedia.org/wikipedia/commons/d/d8/Green_toad.jpg                                                             | 0x00       |
| 123 | Texas Dandelion                 | Pyrrhopappus pauciflorus, known as Texas dandelion, is a taprooted annual found in prairies and disturbed habitats. It features yellow flowers that resemble those of the common dandelion and is native to the area.                                             | https://upload.wikimedia.org/wikipedia/commons/3/3f/Texas_dandelion.jpg                                                        | 0x00       |
| 124 | Red-spotted Toad                | A toad species present in various habitats across Texas, identifiable by the reddish spots on its back.                                                                                                                                                           | https://upload.wikimedia.org/wikipedia/commons/c/c1/Red_spotted_toad.jpg                                                       | 0x00       |
| 125 | Red Yucca                       | Hesperaloe parviflora, commonly called red yucca, is a succulent plant with narrow, evergreen leaves and vibrant red or yellow tubular flowers that attract hummingbirds. It is native to the Chihuahuan and Coahuilan deserts, including regions around Lubbock. | https://upload.wikimedia.org/wikipedia/commons/7/7b/Red_yucca_flowers.jpg                                                      | 0x00       |
| 126 | Texas Toad                      | Native to Texas, this toad is commonly found in suitable habitats throughout the state. Known for its grayish-brown color and warty skin.                                                                                                                         | https://upload.wikimedia.org/wikipedia/commons/3/3e/Texas_toad.jpg                                                             | 0x00       |
| 128 | Blanchard's Cricket Frog        | Present in central Texas regions, these small frogs are identified by their greenish-brown coloration and distinctive call.                                                                                                                                       | https://upload.wikimedia.org/wikipedia/commons/a/a4/Blanchard%27s_Cricket_Frog.jpg                                             | 0x00       |
| 129 | Tahoka Daisy                    | A low-growing purple wildflower native to the Llano Estacado (High Plains). It blooms in summer with lavender daisies and is named after nearby Tahoka, Texas.                                                                                                    | https://upload.wikimedia.org/wikipedia/commons/0/0e/Machaeranthera_tanacetifolia.jpg                                           | 0x00       |
| 130 | Spotted Chorus Frog             | Found in central Texas, known for its bright green color and the black spots on its body, giving it a spotted appearance.                                                                                                                                         | https://upload.wikimedia.org/wikipedia/commons/c/cb/Spotted_chorus_frog.jpg                                                    | 0x00       |
| 132 | Great Plains Narrowmouth Toad   | A small, burrowing toad species found throughout Texas except for the northern Panhandle and western extremes.                                                                                                                                                    | https://upload.wikimedia.org/wikipedia/commons/5/55/Great_plains_narrowmouth_toad.jpg                                          | 0x00       |
| 134 | Plains Leopard Frog             | Found in northern Texas, this frog is characterized by its greenish-brown color with leopard-like spots.                                                                                                                                                          | https://upload.wikimedia.org/wikipedia/commons/d/d1/Plains_leopard_frog.jpg                                                    | 0x00       |
| 136 | American Bullfrog               | Commonly found throughout most of Texas, this large frog is known for its loud, distinctive call and its large size.                                                                                                                                              | https://upload.wikimedia.org/wikipedia/commons/e/e3/American_Bullfrog.jpg                                                      | 0x00       |
| 137 | Turk's Cap                      | Malvaviscus arboreus, known as Turk's cap, is a shade-loving perennial with unique red, turban-shaped flowers. It attracts hummingbirds and butterflies.                                                                                                          | https://upload.wikimedia.org/wikipedia/commons/3/3f/Malvaviscus_drummondii.jpg                                                 | 0x00       |
| 138 | Couch's Spadefoot               | A species native to central Texas, recognizable by its spade-like foot used for digging and its yellowish skin.                                                                                                                                                   | https://upload.wikimedia.org/wikipedia/commons/2/2b/Couchs_spadefoot.jpg                                                       | 0x00       |
| 140 | Plains Spadefoot                | Present in arid plains of northwest Texas and isolated populations in south Texas, this toad-like creature is known for its burrowing abilities.                                                                                                                  | https://upload.wikimedia.org/wikipedia/commons/4/45/Plains_spadefoot.jpg                                                       | 0x00       |
| 142 | Mexican Spadefoot               | Found in central Texas, this small toad is known for its round body and burrowing behavior.                                                                                                                                                                       | https://upload.wikimedia.org/wikipedia/commons/a/a4/Mexican_spadefoot.jpg                                                      | 0x00       |
| 144 | Western Tiger Salamander        | Occurs in various habitats within Texas, a large, stocky salamander with yellow or white spots on a dark background.                                                                                                                                              | https://upload.wikimedia.org/wikipedia/commons/9/94/Western_tiger_salamander.jpg                                               | 0x00       |
| 146 | Greater Earless Lizard          | Found throughout Texas, this small lizard has distinctive earless features and is often seen basking in the sun.                                                                                                                                                  | https://upload.wikimedia.org/wikipedia/commons/2/24/Greater_earless_lizard.jpg                                                 | 0x00       |
| 148 | Common Side-blotched Lizard     | Occurs in multiple habitats throughout Texas, known for the dark side blotch near its forelimb.                                                                                                                                                                   | https://upload.wikimedia.org/wikipedia/commons/c/c2/Side-blotched_lizard.jpg                                                   | 0x00       |
| 150 | Eastern Fence Lizard            | Found in suitable environments across Texas, this lizard is known for its ability to climb and blend into bark and rocks.                                                                                                                                         | https://upload.wikimedia.org/wikipedia/commons/c/c7/Eastern_Fence_Lizard.jpg                                                   | 0x00       |
| 152 | Roundtail Horned Lizard         | Occurs in appropriate habitats within Texas, characterized by its flat body and round tail. This lizard is commonly seen in rocky areas.                                                                                                                          | https://upload.wikimedia.org/wikipedia/commons/0/0f/Roundtail_horned_lizard.jpg                                                | 0x00       |
| 154 | Western Earless Lizard          | Native to Texas, found in various regions, and known for its lack of external ear openings.                                                                                                                                                                       | https://upload.wikimedia.org/wikipedia/commons/c/c6/Western_earless_lizard.jpg                                                 | 0x00       |
| 156 | Woodhouse's Toad                | A widespread toad species found in various regions of Texas, characterized by its large size and spotted pattern.                                                                                                                                                 | https://upload.wikimedia.org/wikipedia/commons/1/15/Woodhouses_toad.jpg                                                        | 0x00       |
| 158 | Western Honey Bee               | The Western honey bee is an essential pollinator for many flowering plants and crops. These bees are vital for biodiversity and agriculture in Lubbock.                                                                                                           | https://upload.wikimedia.org/wikipedia/commons/5/5e/Western_honeybee.jpg                                                       | 0x00       |
| 160 | Convergent Lady Beetle          | The Convergent lady beetle is a natural predator of aphids and other pests, making it beneficial for gardens and agriculture in Lubbock.                                                                                                                          | https://upload.wikimedia.org/wikipedia/commons/4/4f/Hippodamia_convergens.jpg                                                  | 0x00       |
| 162 | Giant Walkingstick              | Native to the area, the Giant Walkingstick is one of the largest insects in North America, reaching up to 7 inches in length. It uses camouflage to blend with twigs and branches.                                                                                | https://upload.wikimedia.org/wikipedia/commons/2/2f/Megaphasma_denticrus.jpg                                                   | 0x00       |
| 164 | Texas Leafcutter Ant            | The Texas leafcutter ant is known for cutting leaves to cultivate fungus, which serves as their primary food source. These ants can form colonies with millions of individuals.                                                                                   | https://upload.wikimedia.org/wikipedia/commons/1/1e/Atta_texana.jpg                                                            | 0x00       |
